date,water_level
2015-01-01,49.55
2015-01-02,50.65
2015-01-03,49.15
2015-01-04,50.39
2015-01-05,49.37
2015-01-06,50.94
2015-01-07,49.23
2015-01-08,50.58
2015-01-09,49.96
2015-01-10,49.82
2015-01-11,50.09
2015-01-12,50.32
2015-01-13,49.55
2015-01-14,49.59
2015-01-15,50.32
2015-01-16,49.15
2015-01-17,49.71
2015-01-18,51.52
2015-01-19,49.52
2015-01-20,50.57
2015-01-21,49.71
2015-01-22,50.25
2015-01-23,50.33
2015-01-24,50.56
2015-01-25,49.9
2015-01-26,50.99
2015-01-27,49.71
2015-01-28,50.12
2015-01-29,50.12
2015-01-30,49.44
2015-01-31,49.86
2015-02-01,50.08
2015-02-02,49.78
2015-02-03,51.22
2015-02-04,49.58
2015-02-05,50.59
2015-02-06,50.43
2015-02-07,49.99
2015-02-08,49.57
2015-02-09,49.62
2015-02-10,49.74
2015-02-11,49.11
2015-02-12,49.5
2015-02-13,49.26
2015-02-14,50.67
2015-02-15,50.31
2015-02-16,50.39
2015-02-17,50.29
2015-02-18,50.08
2015-02-19,50.73
2015-02-20,49.69
2015-02-21,50.05
2015-02-22,50.37
2015-02-23,49.34
2015-02-24,51.55
2015-02-25,50.01
2015-02-26,50.07
2015-02-27,50.63
2015-02-28,50.46
2015-03-01,50.02
2015-03-02,50.07
2015-03-03,49.25
2015-03-04,49.72
2015-03-05,50.26
2015-03-06,50.22
2015-03-07,50.61
2015-03-08,49.94
2015-03-09,49.31
2015-03-10,50.53
2015-03-11,50.72
2015-03-12,50.45
2015-03-13,49.92
2015-03-14,50.52
2015-03-15,51.71
2015-03-16,50.06
2015-03-17,49.34
2015-03-18,49.71
2015-03-19,50.31
2015-03-20,49.2
2015-03-21,50.08
2015-03-22,50.19
2015-03-23,50.77
2015-03-24,50.66
2015-03-25,50.43
2015-03-26,48.92
2015-03-27,50.46
2015-03-28,50.35
2015-03-29,50.13
2015-03-30,49.13
2015-03-31,49.61
2015-04-01,49.42
2015-04-02,48.99
2015-04-03,50.0
2015-04-04,49.6
2015-04-05,51.31
2015-04-06,49.92
2015-04-07,50.65
2015-04-08,49.22
2015-04-09,49.73
2015-04-10,50.05
2015-04-11,49.55
2015-04-12,49.79
2015-04-13,49.89
2015-04-14,49.88
2015-04-15,50.93
2015-04-16,50.19
2015-04-17,50.24
2015-04-18,50.27
2015-04-19,50.31
2015-04-20,49.96
2015-04-21,49.84
2015-04-22,50.08
2015-04-23,50.58
2015-04-24,50.56
2015-04-25,49.88
2015-04-26,50.38
2015-04-27,49.9
2015-04-28,50.02
2015-04-29,49.76
2015-04-30,49.91
2015-05-01,50.67
2015-05-02,50.05
2015-05-03,50.07
2015-05-04,49.28
2015-05-05,49.85
2015-05-06,49.88
2015-05-07,49.59
2015-05-08,50.01
2015-05-09,49.79
2015-05-10,50.04
2015-05-11,50.06
2015-05-12,49.52
2015-05-13,49.8
2015-05-14,50.04
2015-05-15,50.59
2015-05-16,50.13
2015-05-17,49.67
2015-05-18,50.2
2015-05-19,50.86
2015-05-20,50.46
2015-05-21,50.28
2015-05-22,50.37
2015-05-23,50.72
2015-05-24,50.54
2015-05-25,50.29
2015-05-26,50.54
2015-05-27,49.47
2015-05-28,49.26
2015-05-29,50.09
2015-05-30,50.05
2015-05-31,49.75
2015-06-01,50.44
2015-06-02,49.1
2015-06-03,49.77
2015-06-04,49.8
2015-06-05,49.23
2015-06-06,50.8
2015-06-07,49.39
2015-06-08,49.78
2015-06-09,50.54
2015-06-10,50.43
2015-06-11,49.57
2015-06-12,50.48
2015-06-13,50.3
2015-06-14,51.35
2015-06-15,50.41
2015-06-16,50.17
2015-06-17,49.84
2015-06-18,49.94
2015-06-19,49.94
2015-06-20,51.08
2015-06-21,50.46
2015-06-22,50.79
2015-06-23,51.33
2015-06-24,49.46
2015-06-25,51.35
2015-06-26,50.82
2015-06-27,51.1
2015-06-28,50.56
2015-06-29,50.71
2015-06-30,51.44
2015-07-01,52.51
2015-07-02,51.95
2015-07-03,52.22
2015-07-04,51.63
2015-07-05,51.59
2015-07-06,51.66
2015-07-07,51.98
2015-07-08,51.38
2015-07-09,52.23
2015-07-10,52.52
2015-07-11,52.91
2015-07-12,53.28
2015-07-13,53.62
2015-07-14,53.66
2015-07-15,53.6
2015-07-16,53.15
2015-07-17,54.08
2015-07-18,54.12
2015-07-19,55.09
2015-07-20,55.55
2015-07-21,55.81
2015-07-22,55.95
2015-07-23,55.74
2015-07-24,55.78
2015-07-25,55.89
2015-07-26,55.72
2015-07-27,57.18
2015-07-28,56.79
2015-07-29,56.44
2015-07-30,56.82
2015-07-31,56.95
2015-08-01,57.55
2015-08-02,58.18
2015-08-03,57.58
2015-08-04,56.72
2015-08-05,57.82
2015-08-06,57.88
2015-08-07,57.88
2015-08-08,57.69
2015-08-09,58.1
2015-08-10,57.99
2015-08-11,57.9
2015-08-12,58.05
2015-08-13,57.54
2015-08-14,57.4
2015-08-15,58.21
2015-08-16,57.66
2015-08-17,57.64
2015-08-18,57.67
2015-08-19,57.14
2015-08-20,57.15
2015-08-21,55.69
2015-08-22,56.36
2015-08-23,55.95
2015-08-24,56.65
2015-08-25,56.04
2015-08-26,55.02
2015-08-27,55.28
2015-08-28,54.94
2015-08-29,54.84
2015-08-30,53.86
2015-08-31,54.31
2015-09-01,53.78
2015-09-02,53.8
2015-09-03,53.07
2015-09-04,52.92
2015-09-05,53.59
2015-09-06,52.27
2015-09-07,52.11
2015-09-08,52.38
2015-09-09,51.84
2015-09-10,51.61
2015-09-11,51.94
2015-09-12,50.98
2015-09-13,51.08
2015-09-14,52.47
2015-09-15,51.55
2015-09-16,50.82
2015-09-17,51.29
2015-09-18,51.26
2015-09-19,51.38
2015-09-20,50.73
2015-09-21,51.2
2015-09-22,49.62
2015-09-23,50.04
2015-09-24,50.59
2015-09-25,50.61
2015-09-26,49.94
2015-09-27,50.48
2015-09-28,50.0
2015-09-29,50.13
2015-09-30,50.75
2015-10-01,50.66
2015-10-02,49.68
2015-10-03,49.63
2015-10-04,49.93
2015-10-05,50.11
2015-10-06,49.77
2015-10-07,50.61
2015-10-08,50.25
2015-10-09,50.27
2015-10-10,49.42
2015-10-11,50.63
2015-10-12,48.63
2015-10-13,50.45
2015-10-14,50.5
2015-10-15,49.81
2015-10-16,50.66
2015-10-17,49.99
2015-10-18,50.05
2015-10-19,50.18
2015-10-20,51.6
2015-10-21,50.68
2015-10-22,50.36
2015-10-23,49.55
2015-10-24,50.08
2015-10-25,49.6
2015-10-26,50.41
2015-10-27,50.07
2015-10-28,49.44
2015-10-29,50.04
2015-10-30,49.58
2015-10-31,50.08
2015-11-01,49.57
2015-11-02,50.01
2015-11-03,50.38
2015-11-04,49.97
2015-11-05,49.8
2015-11-06,50.1
2015-11-07,50.35
2015-11-08,49.45
2015-11-09,50.13
2015-11-10,50.66
2015-11-11,50.29
2015-11-12,50.03
2015-11-13,50.32
2015-11-14,50.23
2015-11-15,50.38
2015-11-16,48.99
2015-11-17,49.22
2015-11-18,50.5
2015-11-19,49.25
2015-11-20,50.2
2015-11-21,49.82
2015-11-22,49.5
2015-11-23,50.17
2015-11-24,50.1
2015-11-25,51.06
2015-11-26,49.69
2015-11-27,50.72
2015-11-28,50.18
2015-11-29,49.67
2015-11-30,50.4
2015-12-01,50.28
2015-12-02,50.02
2015-12-03,50.13
2015-12-04,49.7
2015-12-05,49.59
2015-12-06,50.38
2015-12-07,49.89
2015-12-08,49.96
2015-12-09,50.14
2015-12-10,50.13
2015-12-11,49.29
2015-12-12,50.64
2015-12-13,50.06
2015-12-14,49.9
2015-12-15,50.22
2015-12-16,50.12
2015-12-17,50.38
2015-12-18,50.27
2015-12-19,50.36
2015-12-20,50.68
2015-12-21,50.44
2015-12-22,49.92
2015-12-23,49.44
2015-12-24,50.83
2015-12-25,49.88
2015-12-26,49.76
2015-12-27,49.13
2015-12-28,50.17
2015-12-29,50.07
2015-12-30,49.24
2015-12-31,50.23
2016-01-01,49.75
2016-01-02,51.35
2016-01-03,49.72
2016-01-04,49.78
2016-01-05,49.56
2016-01-06,50.64
2016-01-07,49.81
2016-01-08,49.64
2016-01-09,50.35
2016-01-10,49.31
2016-01-11,50.31
2016-01-12,50.89
2016-01-13,50.28
2016-01-14,50.32
2016-01-15,50.44
2016-01-16,50.85
2016-01-17,50.6
2016-01-18,50.22
2016-01-19,50.45
2016-01-20,49.56
2016-01-21,50.39
2016-01-22,49.5
2016-01-23,49.82
2016-01-24,48.46
2016-01-25,50.2
2016-01-26,49.68
2016-01-27,50.56
2016-01-28,50.2
2016-01-29,50.56
2016-01-30,49.46
2016-01-31,50.52
2016-02-01,51.05
2016-02-02,50.38
2016-02-03,50.4
2016-02-04,50.08
2016-02-05,49.74
2016-02-06,50.38
2016-02-07,49.25
2016-02-08,49.79
2016-02-09,49.11
2016-02-10,49.65
2016-02-11,50.32
2016-02-12,50.25
2016-02-13,50.03
2016-02-14,50.09
2016-02-15,49.06
2016-02-16,49.81
2016-02-17,49.66
2016-02-18,49.67
2016-02-19,50.3
2016-02-20,49.57
2016-02-21,49.7
2016-02-22,48.96
2016-02-23,49.85
2016-02-24,49.46
2016-02-25,50.04
2016-02-26,49.52
2016-02-27,50.05
2016-02-28,49.93
2016-02-29,50.84
2016-03-01,50.25
2016-03-02,49.08
2016-03-03,49.37
2016-03-04,50.03
2016-03-05,49.54
2016-03-06,48.52
2016-03-07,50.67
2016-03-08,50.36
2016-03-09,50.26
2016-03-10,49.7
2016-03-11,50.21
2016-03-12,49.65
2016-03-13,50.1
2016-03-14,49.54
2016-03-15,50.76
2016-03-16,49.21
2016-03-17,50.62
2016-03-18,50.02
2016-03-19,49.76
2016-03-20,50.08
2016-03-21,50.37
2016-03-22,50.68
2016-03-23,50.16
2016-03-24,49.55
2016-03-25,50.03
2016-03-26,50.91
2016-03-27,50.67
2016-03-28,50.45
2016-03-29,50.4
2016-03-30,50.35
2016-03-31,50.58
2016-04-01,49.77
2016-04-02,49.32
2016-04-03,50.03
2016-04-04,49.59
2016-04-05,49.47
2016-04-06,49.64
2016-04-07,51.24
2016-04-08,50.07
2016-04-09,50.18
2016-04-10,49.39
2016-04-11,49.08
2016-04-12,49.59
2016-04-13,50.72
2016-04-14,50.17
2016-04-15,50.3
2016-04-16,50.37
2016-04-17,49.7
2016-04-18,50.69
2016-04-19,49.68
2016-04-20,50.7
2016-04-21,50.22
2016-04-22,49.11
2016-04-23,49.63
2016-04-24,49.11
2016-04-25,50.58
2016-04-26,49.99
2016-04-27,48.89
2016-04-28,50.19
2016-04-29,49.73
2016-04-30,49.26
2016-05-01,50.84
2016-05-02,50.05
2016-05-03,49.85
2016-05-04,49.8
2016-05-05,49.24
2016-05-06,49.35
2016-05-07,50.64
2016-05-08,49.76
2016-05-09,50.01
2016-05-10,48.98
2016-05-11,49.34
2016-05-12,50.31
2016-05-13,50.19
2016-05-14,50.88
2016-05-15,50.67
2016-05-16,49.89
2016-05-17,50.24
2016-05-18,49.84
2016-05-19,51.03
2016-05-20,50.58
2016-05-21,50.09
2016-05-22,50.11
2016-05-23,50.73
2016-05-24,50.3
2016-05-25,50.79
2016-05-26,48.91
2016-05-27,50.24
2016-05-28,49.76
2016-05-29,50.9
2016-05-30,50.79
2016-05-31,50.04
2016-06-01,50.8
2016-06-02,50.93
2016-06-03,50.08
2016-06-04,51.28
2016-06-05,50.04
2016-06-06,49.96
2016-06-07,50.51
2016-06-08,49.91
2016-06-09,50.15
2016-06-10,50.82
2016-06-11,50.15
2016-06-12,49.31
2016-06-13,50.37
2016-06-14,49.86
2016-06-15,50.67
2016-06-16,50.62
2016-06-17,51.05
2016-06-18,50.81
2016-06-19,50.94
2016-06-20,50.11
2016-06-21,50.91
2016-06-22,51.55
2016-06-23,50.29
2016-06-24,51.61
2016-06-25,50.52
2016-06-26,50.46
2016-06-27,51.13
2016-06-28,51.44
2016-06-29,51.65
2016-06-30,50.83
2016-07-01,51.66
2016-07-02,51.24
2016-07-03,50.99
2016-07-04,51.42
2016-07-05,51.68
2016-07-06,52.49
2016-07-07,52.98
2016-07-08,51.86
2016-07-09,52.97
2016-07-10,52.41
2016-07-11,53.53
2016-07-12,53.13
2016-07-13,53.14
2016-07-14,54.29
2016-07-15,53.84
2016-07-16,54.21
2016-07-17,53.5
2016-07-18,55.33
