date,water_level
2015-01-01,849.7
2015-01-02,849.5
2015-01-03,850.13
2015-01-04,849.1
2015-01-05,849.86
2015-01-06,850.12
2015-01-07,849.87
2015-01-08,849.23
2015-01-09,850.8
2015-01-10,850.05
2015-01-11,850.72
2015-01-12,849.87
2015-01-13,849.56
2015-01-14,850.13
2015-01-15,849.89
2015-01-16,849.41
2015-01-17,850.73
2015-01-18,849.69
2015-01-19,849.08
2015-01-20,850.66
2015-01-21,849.75
2015-01-22,849.7
2015-01-23,849.12
2015-01-24,850.87
2015-01-25,849.36
2015-01-26,850.03
2015-01-27,850.46
2015-01-28,850.21
2015-01-29,849.97
2015-01-30,849.15
2015-01-31,849.6
2015-02-01,850.09
2015-02-02,849.61
2015-02-03,850.1
2015-02-04,850.34
2015-02-05,850.48
2015-02-06,849.39
2015-02-07,851.1
2015-02-08,850.38
2015-02-09,850.0
2015-02-10,850.54
2015-02-11,851.18
2015-02-12,849.28
2015-02-13,849.89
2015-02-14,848.81
2015-02-15,850.1
2015-02-16,850.18
2015-02-17,849.98
2015-02-18,849.67
2015-02-19,848.98
2015-02-20,850.19
2015-02-21,850.73
2015-02-22,849.7
2015-02-23,850.22
2015-02-24,849.22
2015-02-25,850.23
2015-02-26,849.8
2015-02-27,849.62
2015-02-28,849.62
2015-03-01,849.8
2015-03-02,850.19
2015-03-03,849.34
2015-03-04,849.8
2015-03-05,849.98
2015-03-06,849.45
2015-03-07,850.9
2015-03-08,849.57
2015-03-09,849.67
2015-03-10,849.51
2015-03-11,850.9
2015-03-12,850.28
2015-03-13,849.53
2015-03-14,850.55
2015-03-15,850.1
2015-03-16,850.13
2015-03-17,849.83
2015-03-18,849.63
2015-03-19,850.17
2015-03-20,849.73
2015-03-21,850.91
2015-03-22,849.37
2015-03-23,850.77
2015-03-24,849.94
2015-03-25,850.15
2015-03-26,850.42
2015-03-27,849.68
2015-03-28,850.43
2015-03-29,848.65
2015-03-30,849.64
2015-03-31,849.54
2015-04-01,849.37
2015-04-02,849.89
2015-04-03,850.19
2015-04-04,850.35
2015-04-05,850.12
2015-04-06,849.67
2015-04-07,850.18
2015-04-08,850.06
2015-04-09,850.47
2015-04-10,850.39
2015-04-11,850.02
2015-04-12,849.55
2015-04-13,849.67
2015-04-14,849.73
2015-04-15,849.84
2015-04-16,850.13
2015-04-17,850.36
2015-04-18,849.97
2015-04-19,850.01
2015-04-20,850.07
2015-04-21,849.74
2015-04-22,849.54
2015-04-23,849.12
2015-04-24,849.65
2015-04-25,850.24
2015-04-26,849.65
2015-04-27,849.88
2015-04-28,850.23
2015-04-29,850.26
2015-04-30,849.46
2015-05-01,850.5
2015-05-02,850.56
2015-05-03,849.44
2015-05-04,849.59
2015-05-05,850.6
2015-05-06,849.93
2015-05-07,848.89
2015-05-08,849.3
2015-05-09,849.88
2015-05-10,849.42
2015-05-11,849.79
2015-05-12,850.02
2015-05-13,850.73
2015-05-14,849.86
2015-05-15,850.54
2015-05-16,850.72
2015-05-17,850.72
2015-05-18,850.14
2015-05-19,849.02
2015-05-20,850.23
2015-05-21,850.53
2015-05-22,849.96
2015-05-23,850.88
2015-05-24,850.44
2015-05-25,850.29
2015-05-26,850.55
2015-05-27,850.18
2015-05-28,848.77
2015-05-29,849.77
2015-05-30,850.62
2015-05-31,849.62
2015-06-01,849.91
2015-06-02,849.51
2015-06-03,850.93
2015-06-04,850.88
2015-06-05,849.61
2015-06-06,850.13
2015-06-07,849.73
2015-06-08,850.38
2015-06-09,850.34
2015-06-10,850.51
2015-06-11,850.29
2015-06-12,851.61
2015-06-13,849.64
