date,water_level
2015-01-01,205.25
2015-01-02,204.93
2015-01-03,205.32
2015-01-04,205.76
2015-01-05,204.88
2015-01-06,204.88
2015-01-07,205.79
2015-01-08,205.38
2015-01-09,204.77
2015-01-10,205.27
2015-01-11,204.77
2015-01-12,204.77
2015-01-13,205.12
2015-01-14,204.04
2015-01-15,204.14
2015-01-16,204.72
2015-01-17,204.49
2015-01-18,205.16
2015-01-19,204.55
2015-01-20,204.29
2015-01-21,205.73
2015-01-22,204.89
2015-01-23,205.03
2015-01-24,204.29
2015-01-25,204.73
2015-01-26,205.06
2015-01-27,204.42
2015-01-28,205.19
2015-01-29,204.7
2015-01-30,204.85
2015-01-31,204.7
2015-02-01,205.93
2015-02-02,204.99
2015-02-03,204.47
2015-02-04,205.41
2015-02-05,204.39
2015-02-06,205.1
2015-02-07,204.02
2015-02-08,204.34
2015-02-09,205.1
2015-02-10,205.37
2015-02-11,205.09
2015-02-12,204.94
2015-02-13,204.85
2015-02-14,204.26
2015-02-15,204.64
2015-02-16,204.77
2015-02-17,205.53
2015-02-18,205.17
2015-02-19,204.12
2015-02-20,205.16
2015-02-21,204.81
2015-02-22,204.66
2015-02-23,205.31
2015-02-24,205.52
2015-02-25,205.47
2015-02-26,204.58
2015-02-27,204.85
2015-02-28,205.17
2015-03-01,205.49
2015-03-02,204.76
2015-03-03,204.91
2015-03-04,204.45
2015-03-05,204.4
2015-03-06,205.41
2015-03-07,205.68
2015-03-08,204.96
2015-03-09,205.5
2015-03-10,205.18
2015-03-11,204.68
2015-03-12,205.18
2015-03-13,205.77
2015-03-14,204.98
2015-03-15,205.78
2015-03-16,203.69
2015-03-17,205.41
2015-03-18,205.04
2015-03-19,204.85
2015-03-20,205.05
2015-03-21,204.01
2015-03-22,204.89
2015-03-23,205.18
2015-03-24,205.74
2015-03-25,204.74
2015-03-26,204.6
2015-03-27,204.75
2015-03-28,205.46
2015-03-29,205.16
2015-03-30,204.74
2015-03-31,205.26
2015-04-01,205.05
2015-04-02,205.48
2015-04-03,204.65
2015-04-04,204.84
2015-04-05,204.8
2015-04-06,204.27
2015-04-07,205.15
2015-04-08,205.13
2015-04-09,205.0
2015-04-10,204.88
2015-04-11,204.29
2015-04-12,204.79
2015-04-13,204.83
2015-04-14,204.6
2015-04-15,204.92
2015-04-16,205.2
2015-04-17,205.94
2015-04-18,205.09
2015-04-19,205.13
2015-04-20,204.96
2015-04-21,204.04
2015-04-22,204.99
2015-04-23,205.03
2015-04-24,206.23
2015-04-25,204.9
2015-04-26,205.15
2015-04-27,204.98
2015-04-28,204.42
2015-04-29,205.57
2015-04-30,205.38
2015-05-01,205.4
2015-05-02,204.55
2015-05-03,205.7
2015-05-04,204.3
2015-05-05,205.29
2015-05-06,206.1
2015-05-07,204.5
2015-05-08,204.72
2015-05-09,205.05
2015-05-10,204.75
2015-05-11,204.23
2015-05-12,205.03
2015-05-13,204.47
2015-05-14,205.24
2015-05-15,204.54
2015-05-16,205.78
2015-05-17,204.61
2015-05-18,204.84
2015-05-19,205.41
2015-05-20,204.39
2015-05-21,205.12
2015-05-22,205.66
2015-05-23,204.2
2015-05-24,205.1
2015-05-25,205.14
2015-05-26,205.4
2015-05-27,204.39
2015-05-28,204.35
2015-05-29,205.28
2015-05-30,205.17
2015-05-31,205.15
2015-06-01,205.2
2015-06-02,204.69
2015-06-03,205.15
2015-06-04,205.19
2015-06-05,204.69
2015-06-06,205.99
2015-06-07,205.3
2015-06-08,204.48
2015-06-09,205.42
2015-06-10,204.62
2015-06-11,205.51
2015-06-12,205.72
2015-06-13,204.75
2015-06-14,205.66
2015-06-15,205.42
2015-06-16,205.65
2015-06-17,206.22
2015-06-18,205.19
2015-06-19,204.97
2015-06-20,204.95
2015-06-21,205.04
2015-06-22,205.47
2015-06-23,205.74
2015-06-24,205.77
2015-06-25,206.12
2015-06-26,205.8
2015-06-27,206.61
2015-06-28,205.85
2015-06-29,207.44
2015-06-30,206.51
2015-07-01,205.89
