date,water_level
2015-01-01,498.51
2015-01-02,499.37
2015-01-03,499.63
2015-01-04,500.15
2015-01-05,500.14
2015-01-06,499.91
2015-01-07,500.32
2015-01-08,499.49
2015-01-09,500.31
2015-01-10,500.24
2015-01-11,500.19
2015-01-12,499.91
2015-01-13,500.92
2015-01-14,500.25
2015-01-15,499.52
2015-01-16,500.12
2015-01-17,500.38
2015-01-18,499.71
2015-01-19,500.54
2015-01-20,500.19
2015-01-21,498.83
2015-01-22,500.15
2015-01-23,499.8
2015-01-24,500.27
2015-01-25,500.47
2015-01-26,500.1
2015-01-27,500.83
2015-01-28,499.91
2015-01-29,500.31
2015-01-30,500.4
2015-01-31,499.95
2015-02-01,500.39
2015-02-02,499.7
2015-02-03,499.79
2015-02-04,499.34
2015-02-05,500.12
2015-02-06,500.16
2015-02-07,500.59
2015-02-08,500.4
2015-02-09,499.86
2015-02-10,499.41
2015-02-11,500.22
2015-02-12,500.56
2015-02-13,500.38
2015-02-14,500.54
2015-02-15,499.89
2015-02-16,499.77
2015-02-17,499.63
2015-02-18,499.97
2015-02-19,499.96
2015-02-20,500.1
2015-02-21,499.94
2015-02-22,499.93
2015-02-23,499.61
2015-02-24,500.47
2015-02-25,500.04
2015-02-26,499.91
2015-02-27,499.63
2015-02-28,499.33
2015-03-01,500.65
2015-03-02,500.28
2015-03-03,499.19
2015-03-04,500.38
2015-03-05,500.46
2015-03-06,500.06
2015-03-07,500.8
2015-03-08,500.11
2015-03-09,499.29
2015-03-10,500.18
2015-03-11,500.12
2015-03-12,499.7
2015-03-13,500.29
2015-03-14,499.17
2015-03-15,500.5
2015-03-16,499.56
2015-03-17,499.51
2015-03-18,499.94
2015-03-19,500.22
2015-03-20,500.08
2015-03-21,499.63
2015-03-22,499.75
2015-03-23,499.43
2015-03-24,499.89
2015-03-25,500.54
2015-03-26,500.0
2015-03-27,500.43
2015-03-28,500.73
2015-03-29,499.71
2015-03-30,499.91
2015-03-31,501.09
2015-04-01,500.72
2015-04-02,499.16
2015-04-03,500.19
2015-04-04,500.0
2015-04-05,500.41
2015-04-06,499.63
2015-04-07,499.58
2015-04-08,499.66
2015-04-09,499.71
2015-04-10,500.41
