date,water_level
2015-01-01,400.05
2015-01-02,400.24
2015-01-03,399.81
2015-01-04,400.01
2015-01-05,399.93
2015-01-06,399.7
2015-01-07,400.59
2015-01-08,399.29
2015-01-09,401.18
2015-01-10,400.44
2015-01-11,399.11
2015-01-12,399.89
2015-01-13,399.92
2015-01-14,400.2
2015-01-15,399.51
2015-01-16,400.02
2015-01-17,399.94
2015-01-18,399.63
2015-01-19,399.56
2015-01-20,400.46
2015-01-21,399.15
2015-01-22,400.24
2015-01-23,400.4
2015-01-24,399.89
2015-01-25,400.03
2015-01-26,400.58
2015-01-27,399.65
2015-01-28,399.7
2015-01-29,399.75
2015-01-30,400.58
2015-01-31,400.65
2015-02-01,399.3
2015-02-02,400.5
2015-02-03,400.41
2015-02-04,400.78
2015-02-05,400.19
2015-02-06,399.98
2015-02-07,400.57
2015-02-08,400.35
2015-02-09,401.12
2015-02-10,400.48
2015-02-11,400.08
2015-02-12,399.41
2015-02-13,399.71
2015-02-14,399.28
2015-02-15,399.89
2015-02-16,400.46
2015-02-17,400.0
2015-02-18,400.51
2015-02-19,400.17
2015-02-20,399.8
2015-02-21,400.04
2015-02-22,400.24
2015-02-23,400.07
2015-02-24,400.08
2015-02-25,399.62
2015-02-26,399.78
2015-02-27,401.13
2015-02-28,400.61
2015-03-01,399.26
2015-03-02,398.82
2015-03-03,400.04
2015-03-04,400.45
2015-03-05,399.74
2015-03-06,400.51
2015-03-07,400.03
2015-03-08,399.92
2015-03-09,400.38
2015-03-10,399.73
2015-03-11,399.86
2015-03-12,400.34
2015-03-13,399.98
2015-03-14,400.95
2015-03-15,400.35
2015-03-16,400.31
2015-03-17,399.98
2015-03-18,400.44
2015-03-19,399.84
2015-03-20,400.14
2015-03-21,399.54
2015-03-22,400.52
2015-03-23,400.15
2015-03-24,400.99
2015-03-25,401.2
2015-03-26,400.38
2015-03-27,400.03
2015-03-28,399.53
2015-03-29,400.45
2015-03-30,400.11
2015-03-31,400.27
2015-04-01,400.86
2015-04-02,399.59
2015-04-03,399.54
2015-04-04,399.88
2015-04-05,400.41
2015-04-06,400.28
2015-04-07,399.55
2015-04-08,400.38
2015-04-09,399.4
2015-04-10,399.58
2015-04-11,399.94
2015-04-12,399.72
2015-04-13,400.44
2015-04-14,400.14
2015-04-15,400.88
2015-04-16,399.88
2015-04-17,399.94
2015-04-18,400.61
2015-04-19,399.95
2015-04-20,400.75
2015-04-21,400.27
2015-04-22,398.82
2015-04-23,400.59
2015-04-24,400.46
2015-04-25,400.48
2015-04-26,399.04
2015-04-27,399.67
2015-04-28,399.71
2015-04-29,399.58
2015-04-30,400.87
2015-05-01,399.99
2015-05-02,399.98
2015-05-03,400.28
2015-05-04,400.28
2015-05-05,398.33
2015-05-06,399.68
2015-05-07,399.29
2015-05-08,400.2
2015-05-09,399.86
2015-05-10,400.01
2015-05-11,398.96
2015-05-12,399.85
2015-05-13,400.56
2015-05-14,400.71
2015-05-15,400.36
2015-05-16,399.33
2015-05-17,400.63
2015-05-18,400.36
2015-05-19,399.94
2015-05-20,398.99
2015-05-21,400.48
2015-05-22,399.71
2015-05-23,400.18
2015-05-24,400.04
2015-05-25,400.78
2015-05-26,399.95
2015-05-27,400.0
2015-05-28,400.8
2015-05-29,399.69
2015-05-30,400.42
2015-05-31,399.92
2015-06-01,399.52
2015-06-02,400.03
2015-06-03,400.38
2015-06-04,400.72
2015-06-05,400.79
2015-06-06,399.91
2015-06-07,399.57
2015-06-08,399.92
2015-06-09,399.5
2015-06-10,399.99
2015-06-11,399.95
2015-06-12,400.5
2015-06-13,399.06
2015-06-14,399.82
2015-06-15,399.85
2015-06-16,400.83
2015-06-17,399.72
2015-06-18,400.42
2015-06-19,400.29
2015-06-20,400.92
2015-06-21,400.75
2015-06-22,400.57
2015-06-23,400.29
2015-06-24,399.71
2015-06-25,400.83
2015-06-26,401.06
2015-06-27,400.09
2015-06-28,400.36
2015-06-29,401.21
2015-06-30,401.36
2015-07-01,400.82
2015-07-02,401.16
2015-07-03,400.66
2015-07-04,402.42
2015-07-05,401.24
2015-07-06,402.32
2015-07-07,402.21
2015-07-08,403.05
2015-07-09,402.2
2015-07-10,402.83
2015-07-11,402.15
2015-07-12,402.25
2015-07-13,403.73
2015-07-14,402.77
2015-07-15,403.78
2015-07-16,404.64
2015-07-17,404.74
2015-07-18,404.28
2015-07-19,404.06
2015-07-20,405.35
2015-07-21,406.01
2015-07-22,405.24
2015-07-23,405.41
2015-07-24,405.78
2015-07-25,406.55
2015-07-26,407.09
2015-07-27,406.06
2015-07-28,406.13
2015-07-29,408.23
2015-07-30,407.14
2015-07-31,407.51
2015-08-01,407.18
2015-08-02,407.89
2015-08-03,408.23
2015-08-04,407.99
2015-08-05,408.78
2015-08-06,407.8
2015-08-07,407.86
2015-08-08,408.12
2015-08-09,408.22
2015-08-10,408.07
2015-08-11,407.27
2015-08-12,408.0
2015-08-13,407.57
2015-08-14,407.36
2015-08-15,407.54
2015-08-16,406.9
2015-08-17,406.66
2015-08-18,405.75
2015-08-19,407.75
2015-08-20,406.96
2015-08-21,406.42
2015-08-22,405.93
2015-08-23,404.6
2015-08-24,405.44
2015-08-25,405.93
2015-08-26,405.81
2015-08-27,405.42
2015-08-28,404.93
2015-08-29,405.26
2015-08-30,404.2
2015-08-31,404.67
2015-09-01,403.7
2015-09-02,403.22
2015-09-03,402.93
2015-09-04,402.68
2015-09-05,403.33
2015-09-06,402.42
2015-09-07,402.08
2015-09-08,402.76
2015-09-09,402.39
2015-09-10,402.53
2015-09-11,402.14
2015-09-12,401.35
2015-09-13,401.62
2015-09-14,401.51
2015-09-15,400.86
2015-09-16,400.64
2015-09-17,400.74
2015-09-18,402.0
2015-09-19,400.68
2015-09-20,401.41
2015-09-21,400.48
2015-09-22,401.08
2015-09-23,401.02
2015-09-24,400.98
2015-09-25,400.64
2015-09-26,401.09
2015-09-27,400.54
2015-09-28,401.17
2015-09-29,399.46
2015-09-30,400.41
2015-10-01,400.35
2015-10-02,399.71
2015-10-03,400.45
2015-10-04,399.39
2015-10-05,399.79
2015-10-06,399.1
2015-10-07,400.87
2015-10-08,399.96
2015-10-09,401.15
2015-10-10,400.46
2015-10-11,400.27
2015-10-12,399.75
2015-10-13,399.51
2015-10-14,400.29
2015-10-15,399.99
2015-10-16,399.35
2015-10-17,399.26
2015-10-18,399.54
2015-10-19,400.92
2015-10-20,401.12
2015-10-21,400.11
2015-10-22,400.08
2015-10-23,399.84
2015-10-24,399.54
2015-10-25,400.69
2015-10-26,400.94
2015-10-27,399.56
2015-10-28,399.96
2015-10-29,399.78
2015-10-30,399.79
2015-10-31,400.59
2015-11-01,399.34
2015-11-02,400.23
2015-11-03,400.36
2015-11-04,399.93
2015-11-05,400.45
2015-11-06,400.07
2015-11-07,400.61
2015-11-08,399.24
2015-11-09,399.83
2015-11-10,399.96
2015-11-11,398.66
2015-11-12,399.46
2015-11-13,399.59
2015-11-14,400.47
2015-11-15,399.65
2015-11-16,399.59
2015-11-17,400.41
2015-11-18,399.19
2015-11-19,398.96
2015-11-20,399.82
2015-11-21,399.28
2015-11-22,399.3
2015-11-23,400.29
2015-11-24,400.44
2015-11-25,400.39
2015-11-26,400.55
2015-11-27,400.62
2015-11-28,398.94
2015-11-29,400.23
2015-11-30,399.74
2015-12-01,399.63
2015-12-02,400.28
2015-12-03,399.13
2015-12-04,399.12
2015-12-05,400.32
2015-12-06,400.24
2015-12-07,400.07
2015-12-08,399.56
2015-12-09,400.37
2015-12-10,400.34
2015-12-11,400.04
2015-12-12,399.41
2015-12-13,399.79
2015-12-14,400.42
2015-12-15,400.66
2015-12-16,399.84
2015-12-17,399.88
2015-12-18,399.92
2015-12-19,400.14
2015-12-20,399.71
2015-12-21,398.55
2015-12-22,400.6
2015-12-23,400.9
2015-12-24,399.69
2015-12-25,399.47
2015-12-26,399.93
2015-12-27,399.91
2015-12-28,400.5
2015-12-29,400.03
2015-12-30,399.6
2015-12-31,399.34
2016-01-01,400.43
2016-01-02,400.3
2016-01-03,400.53
2016-01-04,399.52
2016-01-05,400.92
2016-01-06,399.13
2016-01-07,400.35
2016-01-08,399.05
2016-01-09,399.6
2016-01-10,400.78
2016-01-11,400.42
2016-01-12,399.73
2016-01-13,399.74
2016-01-14,400.05
2016-01-15,400.26
2016-01-16,400.63
2016-01-17,399.77
2016-01-18,399.19
2016-01-19,400.08
2016-01-20,399.77
2016-01-21,399.35
2016-01-22,400.15
2016-01-23,399.89
2016-01-24,400.15
2016-01-25,399.55
2016-01-26,400.24
2016-01-27,399.34
2016-01-28,399.59
2016-01-29,399.88
2016-01-30,400.87
2016-01-31,400.39
2016-02-01,400.54
2016-02-02,400.71
2016-02-03,401.8
