date,water_level
2015-01-01,5.7
2015-01-02,5.8
2015-01-03,5.66
2015-01-04,5.28
2015-01-05,6.07
2015-01-06,6.29
2015-01-07,6.26
2015-01-08,6.41
2015-01-09,6.16
2015-01-10,5.73
2015-01-11,6.42
2015-01-12,5.32
2015-01-13,5.55
2015-01-14,5.52
2015-01-15,6.54
2015-01-16,6.47
2015-01-17,6.24
2015-01-18,6.54
2015-01-19,5.56
2015-01-20,6.17
2015-01-21,5.94
2015-01-22,6.42
2015-01-23,5.94
2015-01-24,5.81
2015-01-25,6.27
2015-01-26,6.44
2015-01-27,5.67
2015-01-28,5.97
2015-01-29,5.47
2015-01-30,4.75
2015-01-31,6.1
2015-02-01,6.3
2015-02-02,6.13
2015-02-03,5.03
2015-02-04,5.82
2015-02-05,4.89
2015-02-06,6.68
2015-02-07,5.46
2015-02-08,6.63
2015-02-09,6.47
2015-02-10,5.55
2015-02-11,5.43
2015-02-12,6.18
2015-02-13,5.58
2015-02-14,6.05
2015-02-15,5.76
2015-02-16,5.11
2015-02-17,4.88
2015-02-18,6.11
2015-02-19,5.72
2015-02-20,5.72
2015-02-21,6.35
2015-02-22,6.59
2015-02-23,5.86
2015-02-24,5.83
2015-02-25,6.25
2015-02-26,5.32
2015-02-27,6.11
2015-02-28,6.28
2015-03-01,6.34
2015-03-02,5.03
2015-03-03,5.62
2015-03-04,5.56
2015-03-05,6.05
2015-03-06,6.24
2015-03-07,6.75
2015-03-08,5.75
2015-03-09,5.75
2015-03-10,6.57
2015-03-11,6.15
2015-03-12,6.63
2015-03-13,6.14
2015-03-14,5.42
2015-03-15,5.33
2015-03-16,5.22
2015-03-17,6.33
2015-03-18,6.59
2015-03-19,6.92
2015-03-20,6.42
2015-03-21,6.58
2015-03-22,5.71
2015-03-23,5.42
2015-03-24,6.43
2015-03-25,6.21
2015-03-26,6.05
2015-03-27,6.19
2015-03-28,6.16
2015-03-29,6.64
2015-03-30,6.65
2015-03-31,6.27
2015-04-01,6.42
2015-04-02,6.26
2015-04-03,5.77
2015-04-04,6.38
2015-04-05,5.3
2015-04-06,6.53
2015-04-07,5.4
2015-04-08,6.14
2015-04-09,5.58
2015-04-10,6.28
2015-04-11,5.98
2015-04-12,5.2
2015-04-13,6.21
2015-04-14,5.71
2015-04-15,6.44
2015-04-16,6.0
2015-04-17,6.2
2015-04-18,5.52
2015-04-19,5.71
2015-04-20,5.77
2015-04-21,6.43
2015-04-22,6.84
2015-04-23,5.6
2015-04-24,6.54
2015-04-25,4.92
2015-04-26,5.4
2015-04-27,5.52
2015-04-28,5.32
2015-04-29,5.21
2015-04-30,6.21
2015-05-01,5.89
2015-05-02,6.19
2015-05-03,6.35
2015-05-04,6.13
2015-05-05,6.33
2015-05-06,5.97
2015-05-07,5.41
2015-05-08,6.53
2015-05-09,5.71
2015-05-10,5.53
2015-05-11,5.91
2015-05-12,5.54
2015-05-13,5.79
2015-05-14,6.17
2015-05-15,6.18
2015-05-16,5.55
2015-05-17,5.76
2015-05-18,6.54
2015-05-19,6.25
2015-05-20,7.04
2015-05-21,6.59
2015-05-22,6.58
2015-05-23,5.31
2015-05-24,6.39
2015-05-25,5.98
2015-05-26,5.73
2015-05-27,6.09
2015-05-28,6.48
2015-05-29,6.27
2015-05-30,5.58
2015-05-31,6.39
2015-06-01,5.71
2015-06-02,6.14
2015-06-03,5.88
2015-06-04,5.93
2015-06-05,6.43
2015-06-06,5.54
2015-06-07,7.04
2015-06-08,5.17
2015-06-09,5.79
2015-06-10,6.29
2015-06-11,6.41
2015-06-12,6.09
2015-06-13,6.13
2015-06-14,6.39
2015-06-15,6.09
2015-06-16,6.94
2015-06-17,6.69
2015-06-18,6.75
2015-06-19,5.87
2015-06-20,6.36
2015-06-21,6.3
2015-06-22,6.0
2015-06-23,6.75
2015-06-24,6.37
2015-06-25,7.04
2015-06-26,6.26
2015-06-27,7.74
2015-06-28,6.53
2015-06-29,7.19
2015-06-30,7.59
2015-07-01,7.03
2015-07-02,7.87
2015-07-03,6.97
2015-07-04,8.46
2015-07-05,7.89
2015-07-06,7.75
2015-07-07,8.07
2015-07-08,8.81
2015-07-09,8.3
2015-07-10,8.42
2015-07-11,8.89
2015-07-12,8.63
2015-07-13,10.35
2015-07-14,9.38
2015-07-15,10.31
2015-07-16,10.23
2015-07-17,9.88
2015-07-18,10.61
2015-07-19,11.24
2015-07-20,11.0
2015-07-21,11.93
2015-07-22,12.09
2015-07-23,12.27
2015-07-24,11.81
2015-07-25,11.72
2015-07-26,12.17
2015-07-27,12.78
2015-07-28,13.15
2015-07-29,11.97
2015-07-30,13.23
2015-07-31,13.46
2015-08-01,13.39
2015-08-02,14.29
2015-08-03,13.96
2015-08-04,14.5
2015-08-05,13.8
2015-08-06,14.43
2015-08-07,14.81
2015-08-08,14.66
2015-08-09,13.44
2015-08-10,13.83
2015-08-11,13.74
2015-08-12,14.09
2015-08-13,14.1
2015-08-14,13.23
2015-08-15,13.56
2015-08-16,12.37
2015-08-17,13.95
2015-08-18,12.8
2015-08-19,12.9
2015-08-20,12.53
2015-08-21,13.05
2015-08-22,10.84
2015-08-23,12.03
2015-08-24,11.76
2015-08-25,11.35
2015-08-26,12.2
2015-08-27,10.65
2015-08-28,11.24
2015-08-29,10.79
2015-08-30,11.0
2015-08-31,9.8
2015-09-01,9.53
2015-09-02,10.21
2015-09-03,9.65
2015-09-04,8.44
2015-09-05,8.73
2015-09-06,8.99
2015-09-07,9.02
2015-09-08,8.07
2015-09-09,6.77
2015-09-10,8.31
2015-09-11,7.28
2015-09-12,6.72
2015-09-13,6.17
2015-09-14,7.85
2015-09-15,7.38
2015-09-16,7.08
2015-09-17,7.78
2015-09-18,7.3
2015-09-19,7.69
2015-09-20,6.1
2015-09-21,6.69
2015-09-22,5.83
2015-09-23,6.45
2015-09-24,6.38
2015-09-25,6.76
2015-09-26,6.42
2015-09-27,6.66
2015-09-28,6.66
2015-09-29,7.35
2015-09-30,6.08
2015-10-01,5.74
2015-10-02,6.31
2015-10-03,5.76
2015-10-04,6.88
2015-10-05,5.98
2015-10-06,5.82
2015-10-07,5.85
2015-10-08,6.44
2015-10-09,5.99
2015-10-10,5.74
2015-10-11,6.88
2015-10-12,5.61
2015-10-13,6.05
2015-10-14,6.36
2015-10-15,5.21
2015-10-16,6.26
2015-10-17,5.49
2015-10-18,6.43
2015-10-19,5.53
2015-10-20,6.36
2015-10-21,6.56
2015-10-22,6.44
2015-10-23,6.13
2015-10-24,5.89
2015-10-25,5.72
2015-10-26,6.74
2015-10-27,5.65
2015-10-28,5.48
2015-10-29,6.33
2015-10-30,5.6
2015-10-31,5.53
2015-11-01,5.28
2015-11-02,5.76
2015-11-03,5.96
2015-11-04,6.12
2015-11-05,6.48
2015-11-06,6.26
2015-11-07,5.9
2015-11-08,5.9
2015-11-09,6.26
2015-11-10,6.64
2015-11-11,6.06
2015-11-12,5.77
2015-11-13,5.5
2015-11-14,5.28
2015-11-15,6.33
2015-11-16,6.29
2015-11-17,6.29
2015-11-18,5.94
2015-11-19,6.7
2015-11-20,5.76
2015-11-21,6.48
2015-11-22,5.98
2015-11-23,5.7
2015-11-24,6.3
2015-11-25,6.2
2015-11-26,6.18
2015-11-27,6.04
2015-11-28,5.98
2015-11-29,7.19
2015-11-30,6.59
2015-12-01,6.36
2015-12-02,6.06
2015-12-03,6.5
2015-12-04,6.26
2015-12-05,6.01
2015-12-06,5.85
2015-12-07,5.96
2015-12-08,4.41
2015-12-09,6.11
2015-12-10,5.76
2015-12-11,6.8
2015-12-12,6.01
2015-12-13,5.41
2015-12-14,5.98
2015-12-15,5.48
2015-12-16,6.24
2015-12-17,6.15
2015-12-18,6.48
2015-12-19,5.6
2015-12-20,6.02
2015-12-21,5.32
2015-12-22,6.35
2015-12-23,6.26
2015-12-24,6.25
2015-12-25,6.0
2015-12-26,6.21
2015-12-27,6.8
2015-12-28,5.86
2015-12-29,6.07
2015-12-30,5.46
2015-12-31,5.57
2016-01-01,6.05
2016-01-02,6.55
2016-01-03,5.87
2016-01-04,5.88
2016-01-05,5.8
2016-01-06,5.73
2016-01-07,6.15
2016-01-08,5.25
2016-01-09,6.64
2016-01-10,5.67
2016-01-11,6.36
2016-01-12,5.37
2016-01-13,6.33
2016-01-14,6.34
2016-01-15,6.19
2016-01-16,5.5
2016-01-17,6.12
2016-01-18,5.41
2016-01-19,5.87
2016-01-20,6.51
2016-01-21,6.4
2016-01-22,6.01
2016-01-23,5.51
2016-01-24,6.32
2016-01-25,6.01
2016-01-26,4.84
2016-01-27,6.39
2016-01-28,5.99
2016-01-29,6.6
2016-01-30,5.45
2016-01-31,4.41
2016-02-01,6.14
2016-02-02,6.15
2016-02-03,5.15
2016-02-04,5.51
2016-02-05,7.38
2016-02-06,5.85
2016-02-07,6.37
2016-02-08,5.67
2016-02-09,4.95
2016-02-10,5.91
2016-02-11,5.87
2016-02-12,5.8
2016-02-13,5.94
2016-02-14,6.13
2016-02-15,5.92
2016-02-16,5.37
2016-02-17,6.24
2016-02-18,5.03
2016-02-19,4.97
2016-02-20,6.37
2016-02-21,6.25
2016-02-22,5.97
2016-02-23,5.3
2016-02-24,5.65
2016-02-25,5.87
2016-02-26,5.2
2016-02-27,5.63
2016-02-28,6.33
2016-02-29,6.71
2016-03-01,5.79
2016-03-02,6.38
2016-03-03,5.04
2016-03-04,6.33
2016-03-05,5.6
2016-03-06,6.15
2016-03-07,5.88
2016-03-08,6.66
2016-03-09,5.56
2016-03-10,6.31
2016-03-11,5.86
2016-03-12,5.92
2016-03-13,5.91
2016-03-14,5.58
2016-03-15,5.99
2016-03-16,5.97
2016-03-17,6.12
2016-03-18,6.04
2016-03-19,6.4
2016-03-20,6.46
2016-03-21,5.47
2016-03-22,6.43
2016-03-23,5.41
2016-03-24,6.29
2016-03-25,6.31
2016-03-26,5.04
2016-03-27,6.05
2016-03-28,5.77
2016-03-29,5.62
2016-03-30,6.68
2016-03-31,5.67
2016-04-01,5.6
2016-04-02,6.04
2016-04-03,6.34
2016-04-04,5.93
2016-04-05,6.58
2016-04-06,6.27
2016-04-07,4.91
2016-04-08,5.74
2016-04-09,5.72
2016-04-10,6.24
2016-04-11,4.69
2016-04-12,7.27
2016-04-13,6.27
2016-04-14,6.07
2016-04-15,6.59
2016-04-16,7.17
2016-04-17,6.44
2016-04-18,6.47
2016-04-19,6.07
2016-04-20,5.93
2016-04-21,5.76
2016-04-22,5.59
2016-04-23,5.66
2016-04-24,5.32
2016-04-25,5.96
2016-04-26,5.16
2016-04-27,6.1
2016-04-28,5.98
2016-04-29,6.07
2016-04-30,5.74
2016-05-01,7.54
2016-05-02,6.68
2016-05-03,5.38
2016-05-04,6.12
2016-05-05,5.7
2016-05-06,5.49
2016-05-07,5.33
2016-05-08,6.22
2016-05-09,5.66
2016-05-10,6.48
2016-05-11,6.5
2016-05-12,6.69
2016-05-13,5.57
2016-05-14,6.24
2016-05-15,6.32
2016-05-16,5.76
2016-05-17,5.62
2016-05-18,6.81
2016-05-19,6.12
2016-05-20,6.32
2016-05-21,5.59
2016-05-22,5.4
2016-05-23,5.72
2016-05-24,5.95
2016-05-25,5.48
2016-05-26,6.01
2016-05-27,5.17
2016-05-28,5.45
2016-05-29,6.35
2016-05-30,6.32
2016-05-31,5.83
2016-06-01,5.52
2016-06-02,5.52
2016-06-03,5.85
2016-06-04,6.37
2016-06-05,6.52
2016-06-06,5.82
2016-06-07,5.5
2016-06-08,6.22
2016-06-09,5.69
2016-06-10,5.86
2016-06-11,6.8
2016-06-12,6.57
2016-06-13,6.26
2016-06-14,5.57
2016-06-15,6.34
2016-06-16,6.8
2016-06-17,6.12
2016-06-18,7.03
2016-06-19,7.04
2016-06-20,7.28
2016-06-21,6.66
2016-06-22,6.86
2016-06-23,7.34
2016-06-24,6.94
2016-06-25,6.54
2016-06-26,6.66
2016-06-27,7.1
2016-06-28,6.44
2016-06-29,7.12
2016-06-30,7.86
2016-07-01,6.35
2016-07-02,8.35
2016-07-03,8.29
2016-07-04,7.66
2016-07-05,8.32
2016-07-06,8.23
2016-07-07,9.02
2016-07-08,9.09
2016-07-09,8.1
2016-07-10,9.3
2016-07-11,9.11
2016-07-12,9.48
2016-07-13,9.3
2016-07-14,10.77
2016-07-15,10.65
2016-07-16,10.0
2016-07-17,9.94
2016-07-18,10.66
2016-07-19,11.31
2016-07-20,11.46
2016-07-21,12.2
2016-07-22,12.2
2016-07-23,12.52
2016-07-24,12.43
2016-07-25,11.78
2016-07-26,12.58
2016-07-27,13.41
2016-07-28,13.03
2016-07-29,13.48
2016-07-30,13.23
2016-07-31,13.01
2016-08-01,13.59
2016-08-02,13.91
2016-08-03,13.51
2016-08-04,13.79
2016-08-05,13.49
2016-08-06,14.55
2016-08-07,13.85
2016-08-08,14.72
2016-08-09,14.72
2016-08-10,13.87
2016-08-11,13.34
2016-08-12,12.71
2016-08-13,12.91
2016-08-14,12.84
2016-08-15,14.07
2016-08-16,13.29
2016-08-17,13.25
2016-08-18,11.77
2016-08-19,12.08
2016-08-20,12.92
2016-08-21,12.41
2016-08-22,11.97
2016-08-23,12.09
2016-08-24,12.39
2016-08-25,11.23
2016-08-26,11.13
2016-08-27,10.95
2016-08-28,11.81
2016-08-29,9.32
2016-08-30,10.47
2016-08-31,9.84
2016-09-01,9.95
2016-09-02,9.11
2016-09-03,9.19
2016-09-04,9.36
2016-09-05,10.35
2016-09-06,9.0
2016-09-07,7.98
2016-09-08,8.01
2016-09-09,7.82
2016-09-10,6.99
2016-09-11,7.57
2016-09-12,7.95
2016-09-13,6.81
2016-09-14,7.84
2016-09-15,7.44
