date,water_level
2015-01-01,120.42
2015-01-02,120.5
2015-01-03,120.23
2015-01-04,119.8
2015-01-05,120.45
2015-01-06,119.67
2015-01-07,120.88
2015-01-08,119.96
2015-01-09,119.23
2015-01-10,119.4
2015-01-11,120.02
2015-01-12,120.07
2015-01-13,120.98
2015-01-14,119.48
2015-01-15,120.02
2015-01-16,119.47
2015-01-17,119.75
2015-01-18,120.84
2015-01-19,119.43
2015-01-20,120.29
2015-01-21,120.2
2015-01-22,119.99
2015-01-23,120.26
2015-01-24,119.42
2015-01-25,120.83
2015-01-26,120.96
2015-01-27,120.02
2015-01-28,121.21
2015-01-29,119.8
2015-01-30,120.2
2015-01-31,120.72
2015-02-01,119.77
2015-02-02,119.31
2015-02-03,119.19
2015-02-04,121.03
2015-02-05,119.74
2015-02-06,119.91
2015-02-07,119.44
2015-02-08,120.47
2015-02-09,119.61
2015-02-10,119.75
2015-02-11,120.15
2015-02-12,119.47
2015-02-13,119.91
2015-02-14,120.7
2015-02-15,120.21
2015-02-16,120.07
2015-02-17,120.11
2015-02-18,119.81
2015-02-19,121.0
2015-02-20,119.59
2015-02-21,120.11
2015-02-22,120.06
2015-02-23,120.5
2015-02-24,120.55
2015-02-25,119.98
2015-02-26,120.15
2015-02-27,120.16
2015-02-28,118.86
2015-03-01,119.21
2015-03-02,119.7
2015-03-03,119.72
2015-03-04,119.4
2015-03-05,120.37
2015-03-06,120.0
2015-03-07,119.89
2015-03-08,119.37
2015-03-09,119.98
2015-03-10,118.69
2015-03-11,119.92
2015-03-12,120.03
2015-03-13,120.12
2015-03-14,119.22
2015-03-15,120.11
2015-03-16,119.48
2015-03-17,119.59
2015-03-18,120.36
2015-03-19,121.01
2015-03-20,120.03
2015-03-21,119.59
2015-03-22,120.09
2015-03-23,120.47
2015-03-24,120.31
2015-03-25,121.37
2015-03-26,119.64
2015-03-27,120.13
2015-03-28,120.77
2015-03-29,120.74
2015-03-30,119.02
2015-03-31,120.0
2015-04-01,120.74
2015-04-02,121.45
2015-04-03,120.35
2015-04-04,119.82
2015-04-05,119.5
2015-04-06,121.11
2015-04-07,120.36
2015-04-08,119.58
2015-04-09,119.9
2015-04-10,120.16
2015-04-11,120.27
2015-04-12,119.55
2015-04-13,119.69
2015-04-14,119.17
2015-04-15,120.52
2015-04-16,119.83
2015-04-17,120.23
2015-04-18,120.71
2015-04-19,120.11
2015-04-20,119.94
2015-04-21,120.1
2015-04-22,120.03
2015-04-23,120.62
2015-04-24,120.16
2015-04-25,119.73
2015-04-26,120.52
2015-04-27,120.62
2015-04-28,119.33
2015-04-29,120.77
2015-04-30,120.18
2015-05-01,120.14
2015-05-02,120.5
2015-05-03,119.72
2015-05-04,120.48
2015-05-05,119.81
2015-05-06,119.26
2015-05-07,119.5
2015-05-08,120.28
2015-05-09,119.53
2015-05-10,120.81
2015-05-11,120.6
2015-05-12,120.67
2015-05-13,120.06
2015-05-14,120.13
2015-05-15,119.4
2015-05-16,120.5
2015-05-17,120.19
2015-05-18,120.29
2015-05-19,120.85
2015-05-20,119.7
2015-05-21,119.94
2015-05-22,120.17
2015-05-23,119.54
2015-05-24,119.91
2015-05-25,120.25
2015-05-26,119.85
2015-05-27,120.66
2015-05-28,119.26
2015-05-29,120.58
2015-05-30,120.35
2015-05-31,119.74
2015-06-01,119.56
2015-06-02,118.99
2015-06-03,119.64
2015-06-04,120.56
2015-06-05,120.02
2015-06-06,120.64
2015-06-07,119.76
2015-06-08,120.43
2015-06-09,119.73
2015-06-10,119.62
2015-06-11,120.07
2015-06-12,119.81
2015-06-13,119.39
2015-06-14,120.09
2015-06-15,120.26
2015-06-16,120.87
2015-06-17,120.74
2015-06-18,120.92
2015-06-19,120.71
2015-06-20,120.56
2015-06-21,119.83
2015-06-22,120.58
2015-06-23,120.87
2015-06-24,121.37
2015-06-25,121.05
2015-06-26,121.41
2015-06-27,120.37
2015-06-28,120.82
2015-06-29,121.3
2015-06-30,121.78
2015-07-01,121.24
