date,water_level
2015-01-01,549.77
2015-01-02,550.37
2015-01-03,549.88
2015-01-04,550.46
2015-01-05,549.21
2015-01-06,549.18
2015-01-07,549.8
2015-01-08,549.56
2015-01-09,549.74
2015-01-10,549.89
2015-01-11,550.36
2015-01-12,549.8
2015-01-13,549.59
2015-01-14,549.82
2015-01-15,549.62
2015-01-16,549.53
2015-01-17,549.19
2015-01-18,550.03
2015-01-19,549.72
2015-01-20,550.48
2015-01-21,549.28
2015-01-22,549.73
2015-01-23,550.91
2015-01-24,549.53
2015-01-25,549.88
2015-01-26,549.39
2015-01-27,549.33
2015-01-28,550.77
2015-01-29,550.09
2015-01-30,550.07
2015-01-31,549.15
2015-02-01,550.18
2015-02-02,550.58
2015-02-03,550.57
2015-02-04,550.33
2015-02-05,549.44
2015-02-06,550.16
2015-02-07,550.33
2015-02-08,549.1
2015-02-09,549.44
2015-02-10,550.44
2015-02-11,550.44
2015-02-12,549.23
2015-02-13,550.4
2015-02-14,550.05
2015-02-15,550.39
2015-02-16,549.68
2015-02-17,550.32
2015-02-18,550.42
2015-02-19,549.82
2015-02-20,550.01
2015-02-21,549.68
2015-02-22,550.83
2015-02-23,549.94
2015-02-24,549.54
2015-02-25,549.64
2015-02-26,550.06
2015-02-27,550.38
2015-02-28,549.33
2015-03-01,550.92
2015-03-02,550.15
2015-03-03,550.23
2015-03-04,549.95
2015-03-05,550.01
2015-03-06,549.93
2015-03-07,550.51
2015-03-08,550.0
2015-03-09,550.38
2015-03-10,549.78
2015-03-11,550.1
2015-03-12,549.6
2015-03-13,550.61
2015-03-14,549.58
2015-03-15,549.84
2015-03-16,549.84
2015-03-17,549.82
2015-03-18,550.36
2015-03-19,549.84
2015-03-20,550.7
2015-03-21,549.59
2015-03-22,550.08
2015-03-23,549.61
2015-03-24,550.21
2015-03-25,549.99
2015-03-26,549.92
2015-03-27,550.59
2015-03-28,549.67
2015-03-29,550.29
2015-03-30,549.62
2015-03-31,550.06
2015-04-01,549.4
2015-04-02,549.67
2015-04-03,549.96
2015-04-04,550.91
2015-04-05,550.05
2015-04-06,550.83
2015-04-07,550.11
2015-04-08,549.81
2015-04-09,550.77
2015-04-10,550.22
2015-04-11,549.68
2015-04-12,550.24
2015-04-13,549.85
2015-04-14,549.01
2015-04-15,550.47
2015-04-16,550.55
2015-04-17,550.92
2015-04-18,550.21
2015-04-19,549.88
2015-04-20,550.42
2015-04-21,550.42
2015-04-22,550.82
2015-04-23,549.98
2015-04-24,549.92
2015-04-25,549.64
2015-04-26,550.27
2015-04-27,549.23
2015-04-28,550.39
2015-04-29,550.29
2015-04-30,550.29
2015-05-01,550.07
2015-05-02,550.77
2015-05-03,550.44
2015-05-04,549.7
2015-05-05,549.71
2015-05-06,549.56
2015-05-07,550.28
2015-05-08,549.5
2015-05-09,550.54
2015-05-10,550.66
2015-05-11,549.56
2015-05-12,549.91
2015-05-13,550.01
2015-05-14,550.44
2015-05-15,550.81
2015-05-16,549.16
2015-05-17,549.84
2015-05-18,549.87
2015-05-19,549.3
2015-05-20,549.76
2015-05-21,550.22
2015-05-22,549.86
2015-05-23,549.23
2015-05-24,551.44
2015-05-25,550.14
2015-05-26,550.06
2015-05-27,549.46
2015-05-28,550.14
2015-05-29,549.93
2015-05-30,549.07
2015-05-31,549.49
2015-06-01,550.42
2015-06-02,551.0
2015-06-03,550.22
2015-06-04,550.59
2015-06-05,549.97
2015-06-06,550.01
2015-06-07,550.61
2015-06-08,550.91
2015-06-09,550.74
2015-06-10,549.57
2015-06-11,550.09
2015-06-12,550.28
2015-06-13,550.03
2015-06-14,550.38
2015-06-15,550.62
2015-06-16,550.74
2015-06-17,551.12
2015-06-18,550.15
2015-06-19,549.67
2015-06-20,550.58
2015-06-21,551.39
2015-06-22,550.27
2015-06-23,550.91
2015-06-24,550.98
2015-06-25,550.81
2015-06-26,550.8
2015-06-27,550.42
2015-06-28,549.84
2015-06-29,550.53
2015-06-30,551.0
2015-07-01,551.86
2015-07-02,551.39
2015-07-03,551.32
2015-07-04,551.28
2015-07-05,552.21
2015-07-06,552.73
2015-07-07,552.76
2015-07-08,552.71
2015-07-09,551.86
2015-07-10,552.62
2015-07-11,553.98
2015-07-12,553.78
2015-07-13,552.67
2015-07-14,553.63
2015-07-15,554.08
2015-07-16,553.75
2015-07-17,553.21
2015-07-18,554.66
2015-07-19,554.46
2015-07-20,554.7
2015-07-21,555.16
2015-07-22,555.51
2015-07-23,555.8
2015-07-24,555.6
2015-07-25,556.15
2015-07-26,555.6
2015-07-27,556.84
2015-07-28,555.45
2015-07-29,556.92
2015-07-30,557.69
2015-07-31,556.86
2015-08-01,557.88
2015-08-02,558.23
2015-08-03,556.1
2015-08-04,557.77
2015-08-05,556.47
2015-08-06,557.9
2015-08-07,557.99
2015-08-08,556.76
2015-08-09,558.95
2015-08-10,558.1
2015-08-11,557.49
2015-08-12,558.57
2015-08-13,556.86
2015-08-14,557.03
2015-08-15,556.37
2015-08-16,558.29
2015-08-17,557.4
2015-08-18,557.39
2015-08-19,557.03
2015-08-20,556.97
2015-08-21,556.52
2015-08-22,556.4
2015-08-23,556.09
2015-08-24,555.5
2015-08-25,555.55
2015-08-26,555.47
2015-08-27,555.15
2015-08-28,554.11
2015-08-29,553.94
2015-08-30,554.91
2015-08-31,553.98
2015-09-01,554.19
2015-09-02,553.12
2015-09-03,552.7
2015-09-04,552.79
2015-09-05,552.89
2015-09-06,552.46
2015-09-07,553.24
2015-09-08,552.5
2015-09-09,553.15
2015-09-10,552.25
2015-09-11,550.68
2015-09-12,552.26
2015-09-13,550.83
2015-09-14,551.56
2015-09-15,550.93
2015-09-16,552.27
2015-09-17,551.8
2015-09-18,550.61
2015-09-19,550.82
2015-09-20,550.92
2015-09-21,551.14
2015-09-22,550.65
2015-09-23,550.06
2015-09-24,550.15
2015-09-25,550.45
2015-09-26,551.02
2015-09-27,550.57
2015-09-28,549.92
2015-09-29,550.6
2015-09-30,550.05
2015-10-01,550.65
2015-10-02,551.45
2015-10-03,549.98
2015-10-04,550.54
2015-10-05,549.75
2015-10-06,550.05
2015-10-07,550.1
2015-10-08,549.98
2015-10-09,551.3
2015-10-10,549.9
2015-10-11,550.34
2015-10-12,549.08
2015-10-13,550.25
2015-10-14,550.6
2015-10-15,549.76
2015-10-16,548.77
2015-10-17,550.0
2015-10-18,550.02
2015-10-19,550.37
2015-10-20,551.02
2015-10-21,549.82
2015-10-22,549.58
2015-10-23,549.42
2015-10-24,550.1
2015-10-25,550.24
2015-10-26,549.73
2015-10-27,550.39
2015-10-28,550.23
2015-10-29,550.02
2015-10-30,549.55
2015-10-31,549.76
2015-11-01,548.79
2015-11-02,550.12
2015-11-03,550.01
2015-11-04,550.09
2015-11-05,550.25
2015-11-06,550.19
2015-11-07,549.95
2015-11-08,550.02
2015-11-09,549.3
2015-11-10,549.71
2015-11-11,550.03
2015-11-12,549.63
2015-11-13,550.43
2015-11-14,549.67
2015-11-15,550.11
2015-11-16,550.06
2015-11-17,550.37
2015-11-18,550.45
2015-11-19,550.35
2015-11-20,548.95
2015-11-21,550.6
2015-11-22,550.76
2015-11-23,549.76
2015-11-24,550.12
